class_name,attributes,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,generated_description,actual_description
company,name,a company has a name,"Users who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company.",False,False,True,correct,,
initial public offering,documentation,an initial public offering has a documentation,Documentation could either be in the '.docx' or '.pdf' format.,False,False,True,correct,,
initial public offering,money paid,an initial public offering has a money paid,The amount of money that has been paid,False,False,False,inconclusive,,
initial public offering,num shares,an initial public offering has a num shares,Number of shares that have been purchased.,False,False,False,inconclusive,,
initial public offering,rejected initial public offering,an initial public offering has a rejected initial public offering,Customer  Only 'retail' types of customers can apply for IPO.,False,False,False,inconclusive,,
user,blocked account,an user has a blocked account,"If the user has unpaid credit card payments, a blocked account, or is marked as a 'fraud user,' the user should not be able to perform an IPO application.",False,False,False,inconclusive,,
user,customer type,an user has a customer type,"If the user has unpaid credit card payments, a blocked account, or is marked as a 'fraud user,' the user should not be able to perform an IPO application.",False,False,False,inconclusive,,
user,email user,an user has an email user,"Users who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company.",False,False,True,correct,,
user,failed attempts,an user has a failed attempts,"If the user has more than five failed attempts, the bank should restrict the user from the application process.",False,False,False,inconclusive,,
user,fraud user,an user has a fraud user,"Email content should include below information:User's name, surname, email address, telephone number.",False,False,False,inconclusive,,
user,name,an user has a name,"Users who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company.",False,False,True,correct,,
user,surname,an user has a surname,"Users who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company.",False,False,True,correct,,
user,telephone number,an user has a telephone number,"Users who will make IPO Applications must share their name, surname, email address, and telephone number information with the related company.",False,False,True,correct,,
user,unpaid credit,an user has an unpaid credit,"If the user has unpaid credit card payments, a blocked account, or is marked as a 'fraud user,' the user should not be able to perform an IPO application.",False,False,False,inconclusive,,
